设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,tx2.a.yximgs.com,182.254.53.43,腾讯,36.142G,25.596G,61.738G,36.142G,25.596G,61.738G
,shortv.cdp.qq.com,182.254.60.19,腾讯,20.542G,9.075G,29.616G,20.542G,9.075G,29.616G
,119.29.29.29,119.29.29.29,腾讯,12.931G,12.578G,25.509G,12.931G,12.578G,25.509G
,szextshort.weixin.qq.com,121.51.130.113,腾讯,4.958G,18.045G,23.003G,4.958G,18.045G,23.003G
,tx-origin.pull.yximgs.com,121.51.82.99,腾讯,12.636G,9.088G,21.724G,12.636G,9.088G,21.724G
,extshort.weixin.qq.com,121.51.86.133,腾讯,3.347G,12.664G,16.011G,3.347G,12.664G,16.011G
,dldir1.qq.com,182.254.52.203,腾讯,9.018G,5.215G,14.233G,9.018G,5.215G,14.233G
,imtt.dd.qq.com,182.254.59.187,腾讯,8.809G,5.156G,13.965G,8.809G,5.156G,13.965G
,adsmind.ugdtimg.com,182.254.60.36,腾讯,8.696G,3.396G,12.092G,8.696G,3.396G,12.092G
,wxsnsdy.wxs.qq.com,121.51.75.209,腾讯,6.706G,3.165G,9.871G,6.706G,3.165G,9.871G
,szminorshort.weixin.qq.com,121.51.19.149,腾讯,1.392G,8.179G,9.571G,1.392G,8.179G,9.571G
,moviets.tc.qq.com,182.254.61.190,腾讯,7.148G,1.784G,8.932G,7.148G,1.784G,8.932G
,tbs.imtt.qq.com,182.254.59.170,腾讯,5.677G,2.552G,8.229G,5.677G,2.552G,8.229G
,tx.static.yximgs.com,121.51.172.236,腾讯,5.713G,2.209G,7.923G,5.713G,2.209G,7.923G
,mtrace.qq.com,121.51.19.194,腾讯,222.998M,7.475G,7.698G,0.222998G,7.475G,7.698G
,dd.myapp.com,182.254.59.170,腾讯,4.018G,2.949G,6.967G,4.018G,2.949G,6.967G
,dns.weixin.qq.com,182.254.92.148,腾讯,2.366G,4.12G,6.486G,2.366G,4.12G,6.486G
,down.qq.com,182.254.93.102,腾讯,3.255G,2.574G,5.829G,3.255G,2.574G,5.829G
,minorshort.weixin.qq.com,121.51.118.79,腾讯,670.641M,5.061G,5.732G,0.6706409999999999G,5.061G,5.732G
,szshort.weixin.qq.com,121.51.140.147,腾讯,2.149G,3.448G,5.598G,2.149G,3.448G,5.598G
,tx.p2p.huya.com,121.51.64.209,腾讯,2.68G,1.99G,4.67G,2.68G,1.99G,4.67G
,magazineunlockstatic.vivo.com.cn,182.254.59.169,腾讯,2.525G,2.128G,4.653G,2.525G,2.128G,4.653G
,wxsv.qpic.cn,182.254.60.36,腾讯,3.073G,1.398G,4.471G,3.073G,1.398G,4.471G
,v.weishi.qq.com,182.254.60.36,腾讯,2.747G,1.59G,4.337G,2.747G,1.59G,4.337G
,121.51.19.194,121.51.19.194,腾讯,540.588M,3.774G,4.314G,0.540588G,3.774G,4.314G
,121.51.141.108,121.51.141.108,腾讯,567.115M,3.716G,4.283G,0.567115G,3.716G,4.283G
,t00img.yangkeduo.com,182.254.60.13,腾讯,1.838G,2.271G,4.109G,1.838G,2.271G,4.109G
,vipts.tc.qq.com,182.254.61.190,腾讯,3.241G,809.749M,4.051G,3.241G,0.809749G,4.051G
,down-update.qq.com,182.254.52.142,腾讯,1.867G,2.108G,3.974G,1.867G,2.108G,3.974G
,tx-adaptive.pull.yximgs.com,121.51.150.163,腾讯,2.635G,1.26G,3.894G,2.635G,1.26G,3.894G
,pgdt.gtimg.cn,182.254.52.196,腾讯,2.108G,1.7G,3.807G,2.108G,1.7G,3.807G
,wxsnsdysvp.wxs.qq.com,121.51.75.193,腾讯,2.56G,1.115G,3.675G,2.56G,1.115G,3.675G
,tx.game.yximgs.com,182.254.48.192,腾讯,2.216G,1.163G,3.379G,2.216G,1.163G,3.379G
,short.weixin.qq.com,121.51.77.100,腾讯,1.256G,2.015G,3.27G,1.256G,2.015G,3.27G
,adsmind.gdtimg.com,182.254.60.32,腾讯,2.254G,857.841M,3.112G,2.254G,0.857841G,3.112G
,gw-api.pinduoduo.com,111.231.186.87,湖北省,4.177M,2.975G,2.98G,0.004176999999999999G,2.975G,2.98G
,mmbiz.qpic.cn,182.254.90.87,腾讯,1.566G,1.336G,2.901G,1.566G,1.336G,2.901G
,wsv.cdp.qq.com,182.254.60.16,腾讯,2.041G,850.481M,2.891G,2.041G,0.850481G,2.891G
,btrace.qq.com,121.51.141.108,腾讯,844.898M,1.924G,2.769G,0.844898G,1.924G,2.769G
,txmov2.a.yximgs.com,182.254.60.242,腾讯,1.988G,667.835M,2.656G,1.988G,0.6678350000000001G,2.656G
,wxsnsdythumb.wxs.qq.com,121.51.75.197,腾讯,1.781G,835.028M,2.616G,1.781G,0.835028G,2.616G
,wx.qlogo.cn,182.254.86.164,腾讯,949.92M,1.634G,2.584G,0.94992G,1.634G,2.584G
,182.254.59.170,182.254.59.170,腾讯,1.554G,991.278M,2.545G,1.554G,0.991278G,2.545G
,down-wsh.qq.com,182.254.59.170,腾讯,1.708G,801.384M,2.509G,1.708G,0.801384G,2.509G
,android.bugly.qq.com,182.254.88.185,腾讯,84.387M,2.341G,2.425G,0.084387G,2.341G,2.425G
,shzjwxsns.video.qq.com,121.51.75.209,腾讯,1.724G,625.971M,2.35G,1.724G,0.625971G,2.35G
,q.weishi.qq.com,182.254.60.36,腾讯,1.46G,839.644M,2.299G,1.46G,0.8396440000000001G,2.299G
,get.sogou.com,109.244.23.227,其他国家,422.565M,1.73G,2.152G,0.422565G,1.73G,2.152G
,d1--cn-gotcha04.bilivideo.com,121.51.128.175,腾讯,1.508G,533.206M,2.041G,1.508G,0.5332060000000001G,2.041G
,182.254.59.187,182.254.59.187,腾讯,1.173G,787.112M,1.96G,1.173G,0.7871119999999999G,1.96G
,qzonestyle.gtimg.cn,182.254.49.111,腾讯,1.157G,764.594M,1.922G,1.157G,0.764594G,1.922G
,qqpublic.qpic.cn,121.51.67.224,腾讯,1.019G,861.43M,1.881G,1.019G,0.8614299999999999G,1.881G
,aod.cos.tx.xmcdn.com,182.254.52.171,腾讯,1.161G,594.864M,1.756G,1.161G,0.5948640000000001G,1.756G
,182.254.21.115:8080,182.254.21.115,腾讯,284.845M,1.464G,1.749G,0.284845G,1.464G,1.749G
,103.57.15.219,211.159.245.207,腾讯,23.527M,1.72G,1.743G,0.023527G,1.72G,1.743G
,103.57.15.218,121.51.22.109,腾讯,27.512M,1.67G,1.697G,0.027512G,1.67G,1.697G
,weixinconf.qq.com,182.254.93.103,腾讯,1.2G,475.824M,1.676G,1.2G,0.475824G,1.676G
,puui.qpic.cn,121.51.64.120,腾讯,1.012G,639.351M,1.651G,1.012G,0.639351G,1.651G
,121.51.68.93,121.51.68.93,腾讯,1.264G,381.389M,1.645G,1.264G,0.38138900000000003G,1.645G
,182.254.22.158:8080,182.254.22.158,腾讯,301.934M,1.333G,1.635G,0.30193400000000004G,1.333G,1.635G
,defaultts.tc.qq.com,182.254.60.238,腾讯,1.163G,456.707M,1.62G,1.163G,0.456707G,1.62G
,109.244.23.245,109.244.23.245,其他国家,133.676M,1.347G,1.481G,0.133676G,1.347G,1.481G
,apk.linkcook.cn,182.254.59.174,腾讯,1.139G,336.189M,1.475G,1.139G,0.336189G,1.475G
,109.244.23.227,109.244.23.227,其他国家,147.836M,1.324G,1.472G,0.14783600000000002G,1.324G,1.472G
,211.159.235.117,211.159.235.117,腾讯,134.924M,1.337G,1.472G,0.13492400000000002G,1.337G,1.472G
,109.244.23.149,109.244.23.149,其他国家,137.342M,1.327G,1.465G,0.13734200000000002G,1.327G,1.465G
,v2.get.sogou.com,109.244.23.245,其他国家,219.223M,1.239G,1.458G,0.219223G,1.239G,1.458G
,dlied4.myapp.com,182.254.93.102,腾讯,810.792M,631.091M,1.442G,0.8107920000000001G,0.631091G,1.442G
,182.254.57.124,182.254.57.124,腾讯,1.409M,1.438G,1.44G,0.001409G,1.438G,1.44G
,211.159.235.178,211.159.235.178,腾讯,132.097M,1.303G,1.436G,0.13209700000000002G,1.303G,1.436G
,pgdt.ugdtimg.com,182.254.90.121,腾讯,795.178M,625.593M,1.421G,0.795178G,0.625593G,1.421G
,sqdd.myapp.com,182.254.59.187,腾讯,866.48M,517.535M,1.384G,0.86648G,0.517535G,1.384G
,dlied5.qq.com,182.254.52.198,腾讯,1.198G,184.7M,1.382G,1.198G,0.18469999999999998G,1.382G
,tx.pull.yximgs.com,121.51.14.143,腾讯,810.6M,570.636M,1.381G,0.8106G,0.5706359999999999G,1.381G
,txdwk.a.yximgs.com,121.51.129.59,腾讯,820.407M,520.421M,1.341G,0.820407G,0.520421G,1.341G
,182.254.60.226,182.254.60.226,腾讯,1.139G,176.619M,1.316G,1.139G,0.176619G,1.316G
,emoji.qpic.cn,121.51.68.48,腾讯,777.559M,538.182M,1.316G,0.777559G,0.538182G,1.316G
,182.254.60.35,182.254.60.35,腾讯,984.321M,284.986M,1.269G,0.984321G,0.284986G,1.269G
,varietyts.tc.qq.com,182.254.61.175,腾讯,971.871M,238.078M,1.21G,0.9718709999999999G,0.238078G,1.21G
,tx-ad.a.yximgs.com,182.254.48.108,腾讯,718.307M,473.608M,1.192G,0.718307G,0.47360800000000003G,1.192G
,inews.gtimg.com,182.254.76.104,腾讯,492.136M,667.898M,1.16G,0.492136G,0.667898G,1.16G
,qqpublic-75009.picgzc.qpic.cn,109.244.193.177,其他国家,720.068M,386.652M,1.107G,0.7200679999999999G,0.386652G,1.107G
,d3g.qq.com,182.254.59.170,腾讯,715.129M,388.5M,1.104G,0.715129G,0.3885G,1.104G
,121.51.64.13,121.51.64.13,腾讯,779.288M,315.995M,1.095G,0.779288G,0.315995G,1.095G
,vlive.qqvideo.tc.qq.com,182.254.61.190,腾讯,841.29M,201.709M,1.043G,0.84129G,0.201709G,1.043G
,121.51.52.98,121.51.52.98,腾讯,802.711M,231.389M,1.034G,0.8027110000000001G,0.231389G,1.034G
,liveplay.pddpic.com,121.51.14.92,腾讯,478.533M,548.466M,1.027G,0.47853300000000004G,0.548466G,1.027G
,211.159.164.99:8074,211.159.164.99,腾讯,1.01G,8.317K,1.01G,1.01G,8.317e-06G,1.01G
,video.dispatch.tc.qq.com,182.254.53.188,腾讯,691.688M,316.107M,1.008G,0.691688G,0.316107G,1.008G
,svideo.qpic.cn,182.254.60.36,腾讯,700.522M,305.268M,1.006G,0.7005220000000001G,0.305268G,1.006G
,ll-dn.galaxyappstore.com,182.254.61.158,腾讯,617.158M,358.435M,975.593M,0.617158G,0.358435G,0.9755929999999999G
,upos-sz-mirrorcos.bilivideo.com,121.51.64.181,腾讯,577.926M,388.83M,966.756M,0.577926G,0.38883G,0.966756G
,f.video.weibocdn.com,121.51.82.112,腾讯,538.298M,420.184M,958.482M,0.538298G,0.420184G,0.958482G
,121.51.64.126,121.51.64.126,腾讯,721.669M,220.929M,942.598M,0.721669G,0.22092900000000001G,0.9425979999999999G
,121.51.175.105,121.51.175.105,腾讯,689.843M,249.68M,939.523M,0.689843G,0.24968G,0.939523G
,182.254.60.36,182.254.60.36,腾讯,656.947M,270.583M,927.531M,0.656947G,0.270583G,0.927531G
,vliveachy.tc.qq.com,121.51.160.51,腾讯,618.783M,305.09M,923.873M,0.618783G,0.30509G,0.923873G
,imgcache.qq.com,121.51.64.74,腾讯,570.503M,333.052M,903.555M,0.5705030000000001G,0.333052G,0.903555G
,photovideo.photo.qq.com,121.51.176.118,腾讯,565.411M,322.47M,887.88M,0.565411G,0.32247000000000003G,0.88788G
,121.51.14.92,121.51.14.92,腾讯,655.4M,207.62M,863.019M,0.6554G,0.20762G,0.863019G
,121.51.15.45,121.51.15.45,腾讯,627.284M,209.808M,837.092M,0.627284G,0.209808G,0.837092G
,121.51.128.187,121.51.128.187,腾讯,521.291M,311.579M,832.87M,0.5212910000000001G,0.311579G,0.83287G
,shp.qpic.cn,121.51.44.123,腾讯,512.296M,310.66M,822.957M,0.5122960000000001G,0.31066000000000005G,0.8229569999999999G
,mpvideo.qpic.cn,182.254.60.36,腾讯,494.337M,326.075M,820.412M,0.49433699999999997G,0.326075G,0.820412G
,121.51.14.93,121.51.14.93,腾讯,608.596M,209.332M,817.928M,0.608596G,0.209332G,0.817928G
,vipzj.video.tc.qq.com,182.254.61.175,腾讯,648.27M,156.641M,804.911M,0.64827G,0.156641G,0.8049109999999999G
,sportsts.tc.qq.com,182.254.61.234,腾讯,628.103M,157.92M,786.022M,0.628103G,0.15791999999999998G,0.786022G
,103.57.15.221,121.51.22.109,腾讯,12.772M,773.068M,785.841M,0.012772G,0.773068G,0.785841G
,121.51.150.153,121.51.150.153,腾讯,498.917M,279.257M,778.174M,0.498917G,0.279257G,0.778174G
,121.51.175.84,121.51.175.84,腾讯,532.64M,239.933M,772.573M,0.53264G,0.23993299999999998G,0.772573G
,103.57.15.220,115.159.97.173,腾讯,12.668M,746.991M,759.659M,0.012667999999999999G,0.746991G,0.759659G
,tx-ec.static.yximgs.com,182.254.48.108,腾讯,400.346M,349.608M,749.954M,0.400346G,0.34960800000000003G,0.7499539999999999G
,log.tbs.qq.com,182.254.51.100,腾讯,205.682M,544.102M,749.784M,0.20568199999999998G,0.544102G,0.749784G
,121.51.175.60,121.51.175.60,腾讯,536.661M,210.377M,747.038M,0.5366609999999999G,0.210377G,0.747038G
,sns-img-anim-qc.xhscdn.com,182.254.52.222,腾讯,471.686M,248.284M,719.97M,0.471686G,0.248284G,0.71997G
,showlive-10012585.image.myqcloud.com,182.254.48.245,腾讯,431.014M,282.516M,713.53M,0.431014G,0.28251600000000004G,0.71353G
,pingfore.qq.com,121.51.141.118,腾讯,371.876M,315.997M,687.873M,0.371876G,0.31599700000000003G,0.6878730000000001G
,45.116.208.85,182.254.59.190,腾讯,4.973M,656.268M,661.241M,0.004973G,0.6562680000000001G,0.661241G
,vwecam.tc.qq.com,182.254.52.187,腾讯,312.982M,343.745M,656.727M,0.31298200000000004G,0.343745G,0.656727G
,soft.tbs.imtt.qq.com,182.254.59.170,腾讯,417.196M,207.483M,624.679M,0.417196G,0.207483G,0.624679G
,img.nfa.qq.com,182.254.48.233,腾讯,393.609M,220.071M,613.681M,0.393609G,0.220071G,0.613681G
,121.51.68.101,121.51.68.101,腾讯,420.973M,182.016M,602.989M,0.420973G,0.18201599999999998G,0.602989G
,dump.gamesafe.qq.com,121.51.141.112,腾讯,1.701M,595.922M,597.624M,0.001701G,0.5959220000000001G,0.597624G
,input.shouji.sogou.com,109.244.23.123,其他国家,125.98M,445.008M,570.988M,0.12598G,0.44500799999999996G,0.570988G
,sns-img-qc.xhscdn.com,182.254.48.108,腾讯,351.017M,216.077M,567.094M,0.351017G,0.216077G,0.5670940000000001G
,rmpad.imtt.qq.com,121.51.175.100,腾讯,374.649M,188.425M,563.074M,0.374649G,0.188425G,0.563074G
,sysuptxdl.vivo.com.cn,182.254.52.207,腾讯,0,559.243M,559.243M,0G,0.559243G,0.559243G
,speech.sogou.com,109.244.23.123,其他国家,65.129M,473.648M,538.777M,0.065129G,0.473648G,0.5387770000000001G
,15.tlu.dl.delivery.mp.microsoft.com,182.254.90.162,腾讯,365.438M,173.331M,538.769M,0.365438G,0.17333099999999999G,0.538769G
,182.254.116.116,182.254.116.116,腾讯,270.784M,263.442M,534.226M,0.27078399999999997G,0.263442G,0.534226G
,tx.flv.huya.com,121.51.112.90,腾讯,224.288M,305.617M,529.905M,0.22428800000000002G,0.305617G,0.529905G
,cmtw.pinduoduo.com,172.81.217.14,其他国家,43.334M,467.497M,510.831M,0.043334000000000004G,0.467497G,0.510831G
,12371txyc.liveplay.myqcloud.com,121.51.42.145,腾讯,257.72M,252.682M,510.401M,0.25772G,0.25268199999999996G,0.510401G
,182.254.52.228,182.254.52.228,腾讯,395.506M,111.457M,506.963M,0.39550599999999997G,0.111457G,0.506963G
,v.kd1.qq.com,182.254.60.35,腾讯,310.837M,174.053M,484.89M,0.310837G,0.17405299999999999G,0.48489G
,dnet.mb.qq.com,182.254.86.159,腾讯,141.943M,339.145M,481.088M,0.141943G,0.339145G,0.481088G
,newsts.tc.qq.com,182.254.61.190,腾讯,381.467M,96.994M,478.46M,0.381467G,0.096994G,0.47846G
,vmat.gtimg.com,182.254.60.48,腾讯,381.022M,96.776M,477.798M,0.38102199999999997G,0.096776G,0.477798G
,182.254.52.161,182.254.52.161,腾讯,365.503M,110.651M,476.154M,0.36550299999999997G,0.110651G,0.476154G
,119.28.28.28,119.28.28.28,腾讯,241.667M,230.574M,472.241M,0.241667G,0.230574G,0.47224099999999997G
,45.116.208.72,121.51.22.109,腾讯,5.737M,461.487M,467.224M,0.005737G,0.46148700000000004G,0.467224G
,xp.qpic.cn,182.254.49.85,腾讯,244.843M,220.762M,465.605M,0.24484299999999998G,0.220762G,0.465605G
,image.ttwz.qq.com,182.254.48.49,腾讯,355.46M,109.734M,465.194M,0.35546G,0.109734G,0.465194G
,pcdowntx.titan.mgtv.com,182.254.90.176,腾讯,140.651M,321.031M,461.683M,0.140651G,0.321031G,0.461683G
,tx-playback.video.yximgs.com,182.254.60.242,腾讯,347.751M,110.537M,458.287M,0.347751G,0.11053700000000001G,0.458287G
,121.51.128.188,121.51.128.188,腾讯,180.595M,271.696M,452.291M,0.180595G,0.27169600000000005G,0.452291G
,wa.qq.com,182.254.76.113,腾讯,337.939M,98.847M,436.786M,0.33793900000000004G,0.09884699999999999G,0.436786G
,yjzhresnew.bnngame.com,121.51.224.33,腾讯,375.088M,61.551M,436.639M,0.37508800000000003G,0.061551G,0.436639G
,v.kdv1qb.qq.com,182.254.60.19,腾讯,302.018M,129.448M,431.466M,0.30201799999999995G,0.129448G,0.431466G
,pinduoduoimg.yangkeduo.com,182.254.60.65,腾讯,105.172M,307.949M,413.121M,0.105172G,0.30794900000000003G,0.41312099999999996G
,tools.3g.qq.com,182.254.51.125,腾讯,192.983M,218.247M,411.23M,0.19298300000000002G,0.21824700000000002G,0.41123000000000004G
,origin.jiasu.qq.com,121.51.91.51,腾讯,262.863M,147.62M,410.483M,0.262863G,0.14762G,0.410483G
,103.57.15.218:80,129.28.208.160,美国,6.84M,387.059M,393.9M,0.00684G,0.38705900000000004G,0.3939G
,fp-it.fengkongcloud.com,140.143.49.144,河南省郑州市景安计算机网络,18.603M,374.846M,393.449M,0.018603G,0.374846G,0.393449G
,thirdwx.qlogo.cn,182.254.88.194,腾讯,114.554M,276.747M,391.301M,0.114554G,0.276747G,0.391301G
,121.51.128.36,121.51.128.36,腾讯,307.095M,83.035M,390.13M,0.307095G,0.083035G,0.39013G
,mmgr.myapp.com,182.254.59.187,腾讯,262.225M,127.599M,389.824M,0.26222500000000004G,0.127599G,0.389824G
,refresh.rp.qq.com,121.51.137.145,腾讯,247.237M,139.618M,386.855M,0.24723699999999998G,0.139618G,0.386855G
,182.254.52.182,182.254.52.182,腾讯,250.532M,135.478M,386.01M,0.25053200000000003G,0.13547800000000002G,0.38600999999999996G
,animalmobile.happyelements.cn,118.89.56.43,腾讯,103.59M,275.71M,379.3M,0.10359G,0.27570999999999996G,0.3793G
,t16img.yangkeduo.com,182.254.60.13,腾讯,196.082M,180.801M,376.883M,0.196082G,0.180801G,0.37688299999999997G
,shmmsns.qpic.cn,121.51.18.135,腾讯,175.132M,200.83M,375.962M,0.175132G,0.20083G,0.37596199999999996G
,img04.sogoucdn.com,182.254.53.194,腾讯,193.738M,178.674M,372.413M,0.193738G,0.178674G,0.372413G
,pull-flv-l11.douyincdn.com,121.51.14.143,腾讯,193.338M,176.558M,369.896M,0.19333799999999998G,0.176558G,0.369896G
,mugc.music.tc.qq.com,121.51.64.39,腾讯,261.096M,106.279M,367.375M,0.261096G,0.106279G,0.367375G
,182.254.52.180,182.254.52.180,腾讯,252.301M,101.873M,354.174M,0.252301G,0.101873G,0.354174G
,182.254.116.117,182.254.116.117,腾讯,173.429M,176.982M,350.411M,0.173429G,0.176982G,0.35041100000000003G
,tx-cdn-local.rr.tv,182.254.48.121,腾讯,244.633M,103.183M,347.816M,0.24463300000000002G,0.10318300000000001G,0.34781599999999996G
,wa.gtimg.com,182.254.93.104,腾讯,228.421M,118.819M,347.24M,0.22842099999999999G,0.11881900000000001G,0.34724G
,182.254.52.168,182.254.52.168,腾讯,193.48M,143.96M,337.44M,0.19347999999999999G,0.14396G,0.33744G
,182.254.53.249,182.254.53.249,腾讯,214.36M,110.809M,325.168M,0.21436000000000002G,0.11080899999999999G,0.325168G
,182.254.53.212,182.254.53.212,腾讯,199.044M,125.882M,324.926M,0.199044G,0.125882G,0.324926G
,182.254.53.227,182.254.53.227,腾讯,220.481M,104.249M,324.729M,0.22048099999999998G,0.104249G,0.324729G
,182.254.52.167,182.254.52.167,腾讯,208.9M,114.915M,323.815M,0.2089G,0.114915G,0.323815G
,elvs2.yjwart.com,182.254.48.228,腾讯,231.847M,89.246M,321.093M,0.231847G,0.08924599999999999G,0.321093G
,182.254.52.160,182.254.52.160,腾讯,236.233M,83.887M,320.12M,0.236233G,0.083887G,0.32012G
,182.254.48.110,182.254.48.110,腾讯,34.436M,281.745M,316.181M,0.034436G,0.281745G,0.316181G
,182.254.53.199,182.254.53.199,腾讯,195.669M,116.389M,312.058M,0.195669G,0.11638899999999999G,0.312058G
,182.254.52.245,182.254.52.245,腾讯,212.177M,97.4M,309.576M,0.212177G,0.0974G,0.309576G
,dl.softmgr.qq.com,182.254.59.170,腾讯,129.401M,179.02M,308.422M,0.12940100000000002G,0.17902G,0.30842200000000003G
,urltoken.huya.com,212.64.99.102,其他国家,88.753M,218.671M,307.424M,0.088753G,0.218671G,0.307424G
,stat.wup.huya.com,203.195.142.56,其他国家,3.23M,302.654M,305.884M,0.00323G,0.302654G,0.305884G
,dl.zhushou.sogou.com,182.254.53.68,腾讯,247.02M,56.298M,303.319M,0.24702000000000002G,0.056298G,0.303319G
,pcvideotx.titan.mgtv.com,182.254.90.155,腾讯,232.706M,66.762M,299.468M,0.232706G,0.066762G,0.299468G
,182.254.49.102,182.254.49.102,腾讯,56.876M,240.478M,297.354M,0.056875999999999996G,0.240478G,0.297354G
,t20img.yangkeduo.com,182.254.60.65,腾讯,51.734M,241.465M,293.199M,0.051734G,0.241465G,0.293199G
,182.254.118.8,182.254.118.8,腾讯,16.079M,273.889M,289.968M,0.016079G,0.273889G,0.289968G
,182.254.60.112,182.254.60.112,腾讯,201.865M,88.024M,289.889M,0.20186500000000002G,0.088024G,0.289889G
,182.254.53.155,182.254.53.155,腾讯,192.185M,96.726M,288.911M,0.192185G,0.09672599999999999G,0.28891100000000003G
,vzb.tc.qq.com,182.254.52.158,腾讯,124.315M,164.508M,288.824M,0.124315G,0.16450800000000002G,0.288824G
,shp.qlogo.cn,121.51.86.91,腾讯,102.725M,182.936M,285.661M,0.102725G,0.18293600000000002G,0.285661G
,a1.qpic.cn,121.51.19.198,腾讯,172.698M,111.627M,284.325M,0.17269800000000002G,0.11162699999999999G,0.284325G
,t22img.yangkeduo.com,121.51.128.92,腾讯,44.712M,238.746M,283.458M,0.044712G,0.238746G,0.28345800000000004G
,182.254.60.14,182.254.60.14,腾讯,201.253M,80.264M,281.517M,0.201253G,0.080264G,0.281517G
,iv6.gtimg.cn,182.254.49.85,腾讯,159.971M,118.655M,278.625M,0.159971G,0.118655G,0.278625G
,182.254.53.190,182.254.53.190,腾讯,187.945M,89.85M,277.795M,0.187945G,0.08985G,0.277795G
,pp.myapp.com,121.51.64.98,腾讯,156.246M,117.752M,273.998M,0.156246G,0.117752G,0.27399799999999996G
,182.254.53.185,182.254.53.185,腾讯,177.65M,95.794M,273.444M,0.17765G,0.09579399999999999G,0.273444G
,162.14.14.191,162.14.14.191,美国,116.016M,150.131M,266.147M,0.11601600000000001G,0.150131G,0.26614699999999997G
,182.254.48.113,182.254.48.113,腾讯,102.481M,163.242M,265.723M,0.10248099999999999G,0.163242G,0.265723G
,182.254.60.118,182.254.60.118,腾讯,193.636M,66.936M,260.573M,0.193636G,0.06693600000000001G,0.260573G
,p.qpic.cn,121.51.19.191,腾讯,154.479M,100.825M,255.304M,0.154479G,0.100825G,0.255304G
,182.254.60.32,182.254.60.32,腾讯,191.572M,61.137M,252.709M,0.191572G,0.061137000000000004G,0.252709G
,182.254.52.219,182.254.52.219,腾讯,193.178M,58.601M,251.779M,0.193178G,0.058601G,0.251779G
,182.254.60.89,182.254.60.89,腾讯,54.89M,195.955M,250.845M,0.05489G,0.19595500000000002G,0.250845G
,103.57.15.214,121.51.22.109,腾讯,20.65M,226.054M,246.704M,0.020649999999999998G,0.226054G,0.246704G
,182.254.53.213,182.254.53.213,腾讯,162.3M,83.801M,246.101M,0.1623G,0.083801G,0.246101G
,103.57.15.215,121.51.22.109,腾讯,19.121M,224.019M,243.14M,0.019121G,0.224019G,0.24314G
,pcdownyd.titan.mgtv.com,182.254.90.156,腾讯,133.559M,109.116M,242.674M,0.133559G,0.109116G,0.242674G
,182.254.52.223,182.254.52.223,腾讯,162.131M,78.733M,240.864M,0.162131G,0.078733G,0.240864G
,182.254.52.242,182.254.52.242,腾讯,150.329M,89.904M,240.233M,0.15032900000000002G,0.089904G,0.240233G
,182.254.52.184,182.254.52.184,腾讯,146.912M,92.465M,239.376M,0.14691200000000001G,0.092465G,0.239376G
,openapi.finance.qq.com,182.254.50.40,腾讯,45.036M,193.546M,238.582M,0.045036G,0.193546G,0.238582G
,182.254.52.108,182.254.52.108,腾讯,20.533M,217.566M,238.099M,0.020533000000000003G,0.217566G,0.23809899999999998G
,103.57.15.211,121.51.22.109,腾讯,19.489M,217.232M,236.721M,0.019489G,0.217232G,0.23672100000000001G
,103.57.15.217,121.51.22.109,腾讯,18.627M,217.763M,236.389M,0.018626999999999998G,0.217763G,0.23638900000000002G
,182.254.60.108,182.254.60.108,腾讯,171.008M,61.954M,232.962M,0.17100800000000002G,0.061954G,0.232962G
,103.57.15.210,121.51.22.109,腾讯,18.947M,213.656M,232.603M,0.018947G,0.213656G,0.232603G
,182.254.60.48,182.254.60.48,腾讯,204.767M,24.787M,229.554M,0.204767G,0.024787G,0.229554G
,182.254.52.103,182.254.52.103,腾讯,78.616M,150.494M,229.11M,0.078616G,0.150494G,0.22911G
,182.254.52.198,182.254.52.198,腾讯,155.011M,72.187M,227.197M,0.15501099999999998G,0.072187G,0.227197G
,thirdqq.qlogo.cn,121.51.117.109,腾讯,117.998M,108.715M,226.714M,0.117998G,0.108715G,0.226714G
,182.254.52.191,182.254.52.191,腾讯,146.175M,78.801M,224.976M,0.146175G,0.078801G,0.224976G
,103.57.15.216,121.51.22.109,腾讯,19.375M,204.531M,223.906M,0.019375G,0.20453100000000002G,0.223906G
,103.57.15.213,121.51.22.109,腾讯,18.286M,202.687M,220.973M,0.018286G,0.202687G,0.220973G
,pb.sogou.com,211.159.235.175,腾讯,25.55M,194.399M,219.95M,0.02555G,0.194399G,0.21994999999999998G
,wechatapppro-1252524126.file.myqcloud.com,182.254.48.202,腾讯,176.985M,42.917M,219.902M,0.176985G,0.042917000000000004G,0.219902G
,pic200.weishi.qq.com,121.51.22.62,腾讯,118.615M,100.16M,218.775M,0.118615G,0.10016G,0.218775G
,182.254.53.140,182.254.53.140,腾讯,138.817M,74.444M,213.261M,0.138817G,0.074444G,0.213261G
,sns-video-qc.xhscdn.com,182.254.52.122,腾讯,147.511M,64.257M,211.768M,0.147511G,0.06425700000000001G,0.211768G
,182.254.52.22,182.254.52.22,腾讯,123.321M,87.924M,211.245M,0.123321G,0.087924G,0.21124500000000002G
,v2.gdt.qq.com,182.254.56.94,腾讯,28.773M,180.269M,209.042M,0.028773G,0.180269G,0.209042G
,i.gtimg.cn,121.51.68.119,腾讯,122.04M,86.584M,208.623M,0.12204000000000001G,0.08658400000000001G,0.208623G
